,price,buy_prob,sell_prob,signal
20690,22748.39948915,0.36205006,0.495525,2
20691,22677.49119944,0.40638882,0.46557927,2
20692,22700.51276408,0.35007796,0.49870986,2
20693,22682.92584717,0.37855968,0.46598572,2
20694,22618.02334433,0.3608175,0.4275543,2
20695,22524.70008581,0.41897663,0.41827637,2
20696,22657.53853699,0.42217368,0.43899432,2
20697,22494.4908531,0.42882115,0.4401296,2
20698,22569.55944693,0.46412605,0.33047855,2
20699,22774.54084102,0.34015158,0.5289371,0
20700,22851.51118942,0.4204179,0.4423427,2
20701,22717.7851953,0.42903596,0.41458833,2
20702,22775.9478734,0.37593415,0.4551692,2
20703,22717.21632977,0.39244354,0.447323,2
20704,22707.7743036,0.3535007,0.43916255,2
20705,22721.38005249,0.3753448,0.48137757,2
20706,22811.95643832,0.3680074,0.4161473,2
20707,22660.25005957,0.38274908,0.48264807,2
20708,22583.99020051,0.32811,0.55316746,0
20709,22320.7808586,0.36651802,0.49413648,2
20710,22207.32039261,0.3264759,0.55757755,0
20711,21953.30200919,0.3677819,0.49270684,2
20712,21866.00009134,0.34691495,0.5298796,0
20713,21892.56800771,0.36558607,0.50233597,2
20714,21914.20780839,0.35013792,0.49255496,2
20715,21911.74648438,0.3856512,0.46596053,2
20716,21960.58494888,0.3291908,0.52291304,0
20717,22047.35595291,0.37928534,0.47296315,2
20718,22001.3498825,0.37469578,0.48411727,2
20719,22052.1343612,0.38828427,0.48470134,2
20720,21942.40759156,0.42615092,0.41327357,2
20721,21975.33615021,0.45638558,0.3682154,2
20722,21898.15802907,0.4248222,0.45006433,2
20723,21887.18023735,0.3761833,0.49426678,2
20724,21896.18402901,0.48601556,0.35020036,2
20725,21952.79333367,0.40056452,0.46188936,2
20726,21865.25395408,0.41070205,0.4023611,2
20727,21821.86080535,0.41897663,0.41827637,2
20728,21897.26744457,0.43072128,0.42162588,2
20729,22174.03107331,0.37425286,0.4837813,2
20730,22026.20269049,0.34340775,0.52632695,0
20731,21658.37567799,0.35188583,0.50720096,2
20732,21311.07303894,0.3441824,0.52570593,0
20733,20997.64355669,0.3327172,0.5485689,0
20734,21077.06007718,0.3514068,0.51325876,2
20735,21069.93169072,0.3562622,0.45583844,2
20736,21142.60711769,0.387198,0.47676167,2
20737,21128.88038205,0.35204938,0.44146517,2
20738,21147.80069108,0.3839921,0.47141477,2
20739,21080.48413525,0.3910977,0.45724192,2
20740,21067.65200886,0.40884575,0.41393095,2
20741,21067.5217825,0.38896155,0.43468988,2
20742,21121.37941904,0.4528549,0.37302235,2
20743,21076.94472754,0.40120652,0.42190674,2
20744,21093.96511596,0.3561826,0.50502586,2
20745,21033.23613273,0.506412,0.31211224,2
20746,20947.61329959,0.40499482,0.44145298,2
20747,20951.42352397,0.3999048,0.4272214,2
20748,20747.35150583,0.3306446,0.52653724,0
20749,20937.37045675,0.41353735,0.46006423,2
20750,20921.58374948,0.419899,0.43645123,2
20751,20907.15344705,0.40800977,0.43207246,2
20752,20916.29197826,0.3706534,0.48491636,2
20753,20984.48279352,0.3811229,0.48226604,2
20754,20943.49113961,0.3706534,0.48491636,2
20755,21112.31746797,0.39267135,0.4603075,2
20756,21257.1321064,0.35574877,0.488899,2
20757,21209.79796008,0.4108071,0.42251843,2
20758,21161.63129415,0.39419228,0.4270876,2
20759,21188.88247763,0.39407137,0.43823782,2
20760,21077.29302936,0.39419228,0.4270876,2
20761,21108.6566461,0.34018368,0.4114703,0
20762,21249.48039522,0.3838082,0.47166792,2
20763,21257.27939301,0.40530974,0.38243684,2
20764,21348.85456694,0.34384352,0.51951635,0
